"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"Flatout 2";"???";"Empire";"Unknown";"";"";"x"
NA;"Flight Simulator II";"???";"Atari";"Unknown";"";"";"x"
NA;"The Flintstones in Viva Rock Vegas";"???";"Midas";"Unknown";"";"x";"x"
NA;"The Flintstones: Bedrock Racing";"???";"blast!";"Unknown";"";"x";"x"
NA;"The Flintstones: Big Trouble in Bedrock";"???";"Swing!";"Unknown";"";"";"x"
NA;"The Flintstones: Burgertime in Bedrock";"???";"Conspiracy";"Conspiracy";"";"";"x"
NA;"The Flintstones: King Rock Treasure Island";"???";"Taito";"Taito";"";"";"x"
NA;"Flipnic";"???";"Ubi Soft Entertainment";"Unknown";"";"";"x"
NA;"Flipper";"???";"To-Tek, Jopac";"To-Tek";"";"x";"x"
NA;"Flipper & Lopaka";"???";"Ubi Soft";"Planet Interactive Development";"";"x";"x"
NA;"Flipper Game";"???";"Philips";"Philips";"";"";"x"
NA;"Flipper Slipper";"???";"Spectravision";"Spectravision";"x";"";"x"
NA;"Flipuzzle";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Flo Boarding";"???";"Nokia";"Unknown";"";"x";"x"
NA;"Flow: Urban Dance Uprising";"???";"Ubisoft";"Unknown";"";"";"x"
NA;"Flushed Away";"???";"D3 Publisher";"Unknown";"";"";"x"
NA;"Flushed Away";"???";"D3 Publisher";"Unknown";"";"";"x"
NA;"Flying Dragon";"???";"Interplay";"Unknown";"";"";"x"
NA;"Flying Dragon: The Secret Scroll";"???";"Culture Brain";"Unknown";"x";"";"x"
NA;"Flying Goblin";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Flying Nightmares";"???";"Domark";"Unknown";"x";"";"x"
NA;"Flying Squadron";"???";"Phoenix Games";"Naps Team";"";"x";"x"
NA;"Flying Warriors";"???";"Culture Brain";"Unknown";"x";"";"x"
NA;"Foes of Ali";"???";"Electronic Arts";"Unknown";"x";"";"x"
NA;"Food Fight";"???";"Atari";"Atari";"";"";"x"
NA;"Football";"???";"Mattel";"Unknown";"";"";"x"
NA;"Football";"???";"Atari";"Unknown";"x";"";"x"
NA;"Football";"???";"Philips Interactive Media";"Unknown";"";"x";"x"
NA;"Football Academy";"???";"Electronic Arts";"HB Studios";"";"x";"x"
NA;"Football Generation";"???";"Midas";"Unknown";"";"x";"x"
NA;"Football International";"???";"Bandai";"Tokyo Shoseki";"";"x";"x"
NA;"Football Manager Handheld";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2007";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2008";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2009";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2010";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2011";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2012";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Manager Handheld 2013";"???";"Sega";"Unknown";"";"x";"x"
NA;"Football Mania";"???";"LEGO";"Unknown";"";"";"x"
NA;"Football Mania";"???";"LEGO Interactive";"Unknown";"";"";"x"
NA;"Forbidden Siren";"???";"Sony";"Unknown";"";"";"x"
NA;"Forbidden Siren 2";"???";"Sony";"Unknown";"";"x";"x"
NA;"Ford Mustang: The Legend Lives";"???";"Global Star Software";"Unknown";"";"";"x"
NA;"Ford Racing 2";"???";"Empire";"Unknown";"";"";"x"
NA;"Ford Racing 3";"???";"Zoo Digital, Empire";"Unknown";"";"";"x"
NA;"Ford Racing 3";"???";"Empire";"Unknown";"";"";"x"
NA;"Ford Street Racing";"???";"Empire";"Unknown";"";"";"x"
NA;"Ford Street Racing: L.A. Duel";"???";"Xplosiv";"Unknown";"";"";"x"
NA;"Ford vs. Chevy";"???";"Global Star Software";"Unknown";"";"";"x"
NA;"Foreman for Real";"???";"Acclaim Entertainment";"Software Creations";"";"";"x"
NA;"Forest";"???";"Sancho";"Unknown";"";"x";"x"
NA;"Forever Kingdom";"???";"Agetec";"Unknown";"x";"";"x"
NA;"Formel 1";"???";"Hartung";"Unknown";"";"x";"x"
NA;"Formula 1 04";"???";"Sony";"Unknown";"";"x";"x"
NA;"Formula 1 05";"???";"Sony";"Unknown";"";"x";"x"
NA;"Formula 1 06";"???";"Sony";"Unknown";"";"x";"x"
NA;"Formula 1 Grand Prix";"???";"Sony";"Unknown";"";"x";"x"
NA;"Formula Challenge";"???";"Oxygen";"Unknown";"";"x";"x"
NA;"Formula One 2001";"???";"Sony";"Unknown";"";"";"x"
NA;"Formula One 2002";"???";"Sony";"Unknown";"";"x";"x"
NA;"Formula One 2003";"???";"Sony";"Unknown";"";"x";"x"
NA;"Formula One: Built to Win";"???";"Seta";"Unknown";"x";"";"x"
NA;"Fort Boyard";"???";"Microïds";"expand images, Adventure Line";"";"x";"x"
NA;"Fortified Zone";"???";"Jaleco";"Jaleco";"";"";"x"
NA;"Fortress";"???";"THQ, Majesco";"Unknown";"";"";"x"
NA;"Fortress of Fierceness";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Fortune Builder";"???";"CBS";"Coleco";"";"";"x"
NA;"Fortune n Luck";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Forty 4 Party";"???";"505 GameStreet";"Unknown";"";"x";"x"
NA;"Forza Motorsport";"???";"Microsoft Game Studios";"Turn 10 Studios";"";"";"x"
NA;"Fossil Fighters: Champions";"???";"Nintendo";"Unknown";"x";"";"x"
NA;"Fossil League: Dino Tournament Championship";"???";"D3 Publisher";"MTO Co.";"";"";"x"
NA;"Foster's Home for Imaginary Friends";"???";"505 Games";"Unknown";"";"";"x"
NA;"Foto Showdown";"???";"Konami";"Unknown";"x";"";"x"
NA;"Fox Hunt";"???";"Capcom";"Unknown";"x";"";"x"
NA;"Fox Sports College Hoops '99";"???";"Fox Interactive";"Unknown";"x";"";"x"
NA;"Fraction Fever";"???";"Spinnaker";"Spinnaker";"x";"";"x"
NA;"Frank Herbert's Dune";"???";"Cryo";"Unknown";"";"x";"x"
NA;"Frankenstein: The Monster Returns";"???";"Bandai";"Unknown";"x";"";"x"
NA;"Frankenstein's Monster";"???";"Gameworld";"Unknown";"";"";"x"
NA;"Frankie Dettori Racing";"???";"Tru Blu Games";"Unknown";"";"x";"x"
NA;"Franklin the Turtle";"???";"The Game Factory";"Unknown";"";"";"x"
NA;"Franklin: A Birthday Surprise";"???";"The Game Factory";"Unknown";"";"";"x"
NA;"Franklin's Great Adventures";"???";"The Game Factory";"Unknown";"";"";"x"
NA;"Franky, Joe & Dirk: On the Tiles";"???";"Elite Systems";"Audio Visual Magic";"";"x";"x"
NA;"Frantic Freddy";"???";"Spectravision";"Spectravision";"x";"";"x"
NA;"Frantix";"???";"Ubisoft";"Unknown";"";"";"x"
NA;"Freak Out";"???";"Midas";"Unknown";"";"x";"x"
NA;"Freak Out: Extreme Freeride";"???";"JoWood";"Unknown";"";"x";"x"
NA;"Freaky Flyers";"???";"Midway";"Unknown";"";"";"x"
NA;"Fred Couples Golf";"???";"Sega";"Unknown";"x";"";"x"
NA;"Freddi Fish: ABC Under the Sea";"???";"Atari, Humongous";"1st Playable Productions";"";"";"x"
NA;"Free Running";"???";"Reef Entertainment";"Unknown";"";"";"x"
NA;"Freedom Fighters";"???";"Philips";"Philips";"";"";"x"
NA;"Freedom Fighters";"???";"EA Games";"Unknown";"";"";"x"
NA;"Freedom Force";"???";"Sunsoft";"Unknown";"x";"";"x"
NA;"Freefall 3050 - AD";"???";"VM Labs";"Unknown";"x";"";"x"
NA;"Freekstyle";"???";"DSI, Zoo Digital";"Unknown";"";"";"x"
NA;"Freekstyle";"???";"EA Sports Big";"Unknown";"";"";"x"
NA;"Freestyle Boardin' '99";"???";"Capcom";"Unknown";"x";"";"x"
NA;"Freestyle Metal X";"???";"Midway";"Unknown";"";"";"x"
NA;"Freestyle Scooter";"???";"Ubi Soft, Crave Entertainment";"Unknown";"";"";"x"
NA;"Freeway";"???";"Activision";"Unknown";"";"";"x"
NA;"Frenzy";"???";"CBS";"Coleco";"";"";"x"
NA;"Frequency";"???";"Sony";"Unknown";"";"";"x"
NA;"Freshly-Picked: Tingle's Rosy Rupeeland";"???";"Nintendo";"Vanpool";"";"x";"x"
NA;"Friday the 13th";"???";"Ljn";"Unknown";"x";"";"x"
NA;"Friends: The One With All the Trivia";"???";"Warner Bros. Entertainment";"Unknown";"";"";"x"
NA;"Frisco";"???";"Home Vision";"Unknown";"";"x";"x"
NA;"Fritz by Chessbase";"???";"Deep Silver";"Shanblue Interactive";"";"";"x"
NA;"Frog Bog";"???";"Mattel";"Unknown";"";"";"x"
NA;"Frog Feast";"???";"OlderGames";"Rastersoft";"";"";"x"
NA;"Frogger Advance: The Great Quest";"???";"Konami";"Unknown";"";"";"x"
NA;"Frogger Beyond";"???";"Konami";"Unknown";"";"";"x"
NA;"Frogger II: Threeedeep!";"???";"Parker Brothers";"Unknown";"";"";"x"
NA;"Frogger: The Great Quest";"???";"Konami";"Unknown";"";"";"x"
NA;"Frogger's Adventures 2: The Lost Wand";"???";"Konami";"Unknown";"";"";"x"
NA;"Frogger's Adventures: Temple of the Frog";"???";"Konami";"Unknown";"";"";"x"
NA;"Frogger's Journey: The Forgotten Relic";"???";"Konami";"Unknown";"x";"";"x"
NA;"Frogs and Flies";"???";"Telegames";"Unknown";"";"";"x"
NA;"Frogs and How They Live";"???";"AIMS";"Unknown";"x";"";"x"
NA;"From the Abyss";"???";"Nobilis";"Sonic Powered";"";"";"x"
NA;"Front Line";"???";"Coleco";"Unknown";"";"";"x"
NA;"Front Mission";"???";"Square Enix";"Unknown";"x";"";"x"
NA;"Front Mission 4";"???";"Square Enix";"Unknown";"x";"";"x"
NA;"Frostbite";"???";"Activision";"Unknown";"";"";"x"
NA;"Fruit Machine Mania";"???";"Liquid Games";"Unknown";"";"x";"x"
NA;"Fruitfall";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Full Auto 2: Battlelines";"???";"Sega";"Unknown";"";"";"x"
NA;"Full Spectrum Warrior";"???";"THQ";"Unknown";"";"";"x"
NA;"Full Spectrum Warrior: Ten Hammers";"???";"THQ";"Unknown";"";"";"x"
NA;"Full Throttle: All-American Racing";"???";"GameTek";"Gremlin Graphics";"";"";"x"
NA;"Fullmetal Alchemist 2: Curse of the Crimson Elixir";"???";"Square Enix";"Unknown";"x";"";"x"
NA;"Fullmetal Alchemist and the Broken Angel";"???";"Square Enix";"Unknown";"x";"";"x"
NA;"Fullmetal Alchemist: Brotherhood";"???";"Bandai";"Unknown";"";"x";"x"
NA;"Fullmetal Alchemist: Trading Card Game";"???";"Destineer";"Unknown";"x";"";"x"
NA;"Fun House";"???";"Hi Tech Expressions";"Unknown";"x";"";"x"
NA;"Funblaster Pak";"???";"HES";"Joy Van";"";"x";"x"
NA;"Funny World & Balloon Boy";"???";"Realtec";"Unknown";"x";"";"x"
NA;"Fur Fighters: Viggo's Revenge";"???";"Acclaim";"Unknown";"";"";"x"
NA;"Furious Karting";"???";"Atari Europe";"Babylon Software";"";"";"x"
NA;"Furry Tales";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Further Adventures of Hannibal the Cat";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Fuss-Ball";"???";"Hartung";"Unknown";"";"x";"x"
NA;"Futurama";"???";"SCi Games";"Unknown";"";"";"x"
NA;"Future Tactics: The Uprising";"???";"JoWood";"Unknown";"";"";"x"
NA;"FutureU: The Prep Game for SAT";"???";"Aspyr";"Unknown";"x";"";"x"
NA;"Fuzion Frenzy";"???";"Microsoft Game Studios";"Blitz Games";"";"";"x"
NA;"G P Race";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"G-Force";"???";"Disney";"Unknown";"";"";"x"
NA;"G-Force";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"G-Force";"???";"Disney";"Keen Games";"";"";"x"
NA;"G-Police + Firebugs + Colony Wars: Vengeance";"???";"Psygnosis";"Psygnosis";"";"x";"x"
NA;"G-Surfers featuring Trackman";"???";"Midas";"Unknown";"";"";"x"
NA;"G.A.S.P.!!: Fighters Nextream";"???";"Konami";"Unknown";"";"";"x"
NA;"G.I. Joe: A Real American Hero";"???";"Taxan";"Unknown";"x";"";"x"
NA;"G.I. Joe: The Atlantis Factor";"???";"Capcom";"Unknown";"x";"";"x"
NA;"G.I. Joe: The Rise of Cobra";"???";"EA";"Unknown";"";"";"x"
NA;"G.I. Joe: The Rise of Cobra";"???";"Electronic Arts";"Backbone Entertainment";"";"";"x"
NA;"G1 Jockey";"???";"Koei";"Unknown";"";"x";"x"
NA;"G1 Jockey 3";"???";"Koei";"Unknown";"";"";"x"
NA;"G1 Jockey 4";"???";"Koei";"Unknown";"";"x";"x"
NA;"G7010";"???";"Philips";"Philips";"";"x";"x"
NA;"Gadget & the Gadgetinis";"???";"Hip Games";"Unknown";"";"x";"x"
NA;"Gadget Racers";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Gadget Racers";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Gadget Twins";"???";"GameTek";"Unknown";"x";"";"x"
NA;"Gaelic Games Football";"???";"Sony";"Unknown";"";"x";"x"
NA;"Gaelic Games Football 2";"???";"Sony";"Unknown";"";"x";"x"
NA;"Gaelic Games Hurling";"???";"Sony";"Unknown";"";"x";"x"
NA;"Gaiares";"???";"Renovation";"Unknown";"x";"";"x"
NA;"Galactic Crusader";"???";"Watara";"Unknown";"";"";"x"
NA;"Galactic Crusader";"???";"Bunch Games";"Unknown";"x";"";"x"
NA;"Galactic Tazball (Looney Tunes presents...)";"???";"Warner Bros. Games";"WayForward Technologies";"";"";"x"
NA;"Galactic Wrestling Featuring Ultimate Muscle";"???";"Bandai";"Unknown";"x";"";"x"
NA;"Galactik Football";"???";"505 Games";"Beast Studios";"";"x";"x"
NA;"Galaga";"???";"Bandai";"Namco";"";"";"x"
NA;"Galaga `90";"???";"NEC";"Unknown";"";"";"x"
NA;"Galaxian";"???";"Atarisoft";"Atari";"x";"";"x"
NA;"Galaxian";"???";"Atari";"Unknown";"";"";"x"
NA;"Galaxy Fighter";"???";"Watara";"Unknown";"";"";"x"
NA;"Galaxy Invader";"???";"Hi-Score";"Unknown";"";"";"x"
NA;"Galaxy Invaders";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Galaxy Racers";"???";"Ubisoft Entertainment";"kunst-stoff";"";"";"x"
NA;"Galerians: Ash";"???";"Sammy";"Unknown";"";"";"x"
NA;"Galidor: Defenders of the Outer Dimension";"???";"Electronic Arts";"Unknown";"x";"";"x"
NA;"Gallop Racer";"???";"Tecmo";"Unknown";"x";"";"x"
NA;"Gallop Racer (At the Races presents...)";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Gallop Racer 2";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Gallop Racer 2001";"???";"Tecmo";"Unknown";"x";"";"x"
NA;"Gallop Racer 2006";"???";"Tecmo";"Unknown";"x";"";"x"
NA;"Game & Watch Collection";"???";"Nintendo";"Nintendo Entertainment Analysis & Development";"";"";"x"
NA;"Game & Watch Gallery 2";"???";"Nintendo";"Nintendo";"";"";"x"
NA;"Game & Watch Gallery Advance";"???";"Nintendo";"Unknown";"";"";"x"
NA;"Game & Watch Gallery: 4 Games in One";"???";"Nintendo";"Nintendo";"";"";"x"
NA;"Game Box: Great Volley + Super Futebol II + Wimbledon";"???";"Sega";"U.S. Gold";"";"x";"x"
NA;"Game Boy Gallery: 5 Games in 1";"???";"Nintendo";"Nintendo";"";"x";"x"
NA;"The Game of Life";"???";"Hasbro Interactive";"Unknown";"x";"";"x"
NA;"Game Pack: I Spy Universe + I Spy Fun House";"???";"Scholastic";"Unknown";"x";"";"x"
NA;"Gamehits";"???";"Purple Hills, Foreign Media Games";"Most Wanted Entertainment";"";"";"x"
NA;"Games & Goodies";"???";"Multi Media Machine";"Unknown";"";"x";"x"
NA;"Games Around the World";"???";"Zoo Digital";"Unknown";"x";"";"x"
NA;"Games Explosion!";"???";"THQ";"Unknown";"x";"";"x"
NA;"Games Frenzy";"???";"3DO";"2n Productions";"";"";"x"
NA;"Games Galaxy 2";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Gamma-Attack";"???";"Gammation";"Unknown";"x";"";"x"
NA;"Gangs of London";"???";"Sony";"Unknown";"";"";"x"
NA;"Gangster Alley";"???";"Spectravideo";"Unknown";"";"";"x"
NA;"Garden Scapes";"???";"Purple Hills";"Joindots";"";"x";"x"
NA;"Gardening Guide: How to Get Green Fingers";"???";"Mindscape";"Mindscape";"";"x";"x"
NA;"Gardening Mama";"???";"505 Games";"Cooking Mama Ltd.";"";"";"x"
NA;"Garfield";"???";"Hip Games";"Unknown";"";"x";"x"
NA;"Garfield 2";"???";"The Game Factory";"Unknown";"";"x";"x"
NA;"Garfield and His Nine Lives";"???";"The Game Factory";"Unknown";"";"";"x"
NA;"Garfield Labyrinth";"???";"Kemco";"Kotobuki System";"";"";"x"
NA;"Garfield: Lasagna World Tour";"???";"Neko Entertainment";"Unknown";"";"";"x"
NA;"Garfield: Saving Arlene";"???";"Hip Games";"Unknown";"";"x";"x"
NA;"Garfield: The Search for Pooky";"???";"The Game Factory";"Unknown";"";"";"x"
NA;"Gargoyle's Quest";"???";"Nintendo";"Capcom";"";"";"x"
NA;"Gargoyles";"???";"Sega";"Unknown";"x";"";"x"
NA;"Garry Kitchen's Battletank";"???";"Absolute Entertainment";"Unknown";"x";"";"x"
NA;"Gas Hog";"???";"Spectravideo";"Unknown";"";"";"x"
NA;"Gate of Thunder";"???";"TTI";"Unknown";"x";"";"x"
NA;"Gates of Zendocon";"???";"Atari";"Epyx";"";"";"x"
NA;"Gateway To Apshai";"???";"Epyx";"Epyx";"";"";"x"
NA;"GATO";"???";"Atari";"Unknown";"";"";"x"
NA;"Gauntlet";"???";"Answer";"Unknown";"x";"";"x"
NA;"Gauntlet";"???";"Tengen";"Unknown";"x";"";"x"
NA;"Gauntlet & Rampart";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Gauntlet Legends";"???";"Midway";"Unknown";"";"";"x"
NA;"Gauntlet: Dark Legacy";"???";"Midway";"Unknown";"";"";"x"
NA;"Gauntlet: Dark Legacy";"???";"Midway";"Unknown";"x";"";"x"
NA;"Gauntlet: Seven Sorrows";"???";"Midway";"Unknown";"";"";"x"
NA;"Gauntlet: The Third Encounter";"???";"Atari";"Tengen";"";"";"x"
NA;"Gear Works";"???";"Sony Imagesoft";"Teque London";"";"";"x"
NA;"Gecko Blaster";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Das Geheimnis der Happy Hippo Insel";"???";"JoWood";"Kritzelkratz 3000";"";"x";"x"
NA;"Gekido Advance: Kintaro's Revenge";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Gem Smashers";"???";"Metro3D";"Unknown";"x";"";"x"
NA;"Gemfire";"???";"Koei";"Unknown";"x";"";"x"
NA;"Gene Troopers";"???";"Playlogic";"Unknown";"";"x";"x"
NA;"Generation of Chaos";"???";"Midas Interactive";"Unknown";"";"";"x"
NA;"Generator Rex: Providence-Agent";"???";"Activision";"Virtuos";"";"";"x"
NA;"Genghis Khan";"???";"Koei";"Unknown";"x";"";"x"
NA;"Genji";"???";"Sony";"Unknown";"";"";"x"
NA;"Gensan";"???";"DHM Interactive";"Unknown";"";"";"x"
NA;"Geom Cube";"???";"American Technos";"Unknown";"x";"";"x"
NA;"George of the Jungle";"???";"Ignition Entertainment";"Unknown";"";"";"x"
NA;"George of the Jungle";"???";"Ignition";"7 Studios";"";"";"x"
NA;"Geronimo Stilton in the Kingdom of Fantasy: The Videogame";"???";"Sony";"Unknown";"";"x";"x"
NA;"Geronimo Stilton: Return to the Kingdom of Fantasy: The Videogame";"???";"Sony";"Unknown";"";"x";"x"
NA;"Get On Da Mic";"???";"Eidos";"Unknown";"";"";"x"
NA;"The Getaway";"???";"Sony";"Unknown";"";"";"x"
NA;"The Getaway: Black Monday";"???";"Sony";"Unknown";"";"";"x"
NA;"Gewetensvragen";"???";"Philips Interactive Media";"Unknown";"";"x";"x"
NA;"Gex";"???";"Crystal Dynamics";"Unknown";"";"";"x"
NA;"Gex: Deep Cover Gecko";"???";"Eidos";"Crystal Dynamics, David A. Palmer Productions";"";"";"x"
NA;"Gex: Enter the Gecko";"???";"Interplay";"Crystal Dynamics";"";"";"x"
NA;"Ghost Hunter";"???";"Sony";"Unknown";"";"";"x"
NA;"Ghost in the Shell: Stand Alone Complex";"???";"Bandai";"Unknown";"";"";"x"
NA;"Ghost in the Shell: Stand Alone Complex";"???";"Bandai";"Unknown";"";"";"x"
NA;"Ghost Lion";"???";"Kemco";"Unknown";"x";"";"x"
NA;"Ghost Manor";"???";"TTI";"Unknown";"x";"";"x"
NA;"Ghost Manor";"???";"Xonox";"Unknown";"x";"";"x"
NA;"Ghost Master: The Gravenville Chronicles";"???";"Empire";"Unknown";"";"x";"x"
NA;"Ghost Rider";"???";"2K Games";"Unknown";"";"";"x"
NA;"Ghost Rider";"???";"2K Games";"Unknown";"";"";"x"
NA;"Ghost Trick: Phantom Detective";"???";"Capcom";"Capcom Production Studio 1";"";"";"x"
NA;"Ghost Vibration";"???";"Atari";"Unknown";"";"x";"x"
NA;"Ghostbusters";"???";"Activision";"Unknown";"";"";"x"
NA;"Ghostbusters II";"???";"Activision";"HAL Laboratory";"";"";"x"
NA;"Ghostbusters II";"???";"Salu";"Unknown";"";"x";"x"
NA;"Ghoul School";"???";"Electro Brain";"Unknown";"x";"";"x"
NA;"Giana Sisters DS";"???";"dtp Entertainment";"Bitfield";"";"";"x"
NA;"Giants: Citizen Kabuto";"???";"Empire";"Unknown";"";"";"x"
NA;"Gift";"???";"Cryo Interactive";"Cryo Interactive";"";"x";"x"
NA;"Gift";"???";"Wanadoo";"Unknown";"";"x";"x"
NA;"GigaWing 2";"???";"Capcom";"Unknown";"x";"";"x"
NA;"GigaWing Generations";"???";"505 GameStreet";"Unknown";"";"x";"x"
NA;"Girl Zone";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Girl's Club";"???";"Philips Interactive Media";"Unknown";"";"";"x"
NA;"Girls Only";"???";"Foreign Media Games";"Most Wanted Entertainment";"";"";"x"
NA;"Gitaroo Man";"???";"Koei";"Unknown";"";"";"x"
NA;"Glacier Patrol";"???";"Telegames";"Unknown";"";"";"x"
NA;"Gladiator Begins";"???";"pQube";"Unknown";"";"";"x"
NA;"Gladiator: Sword of Vengeance";"???";"Acclaim";"Unknown";"";"";"x"
NA;"Gladius";"???";"LucasArts";"Unknown";"";"";"x"
NA;"Glass Rose";"???";"Capcom";"Unknown";"";"x";"x"
NA;"Glib";"???";"Selchow & Richter";"Unknown";"x";"";"x"
NA;"Glimmerati";"???";"Nokia";"Bugbear Entertainment";"";"";"x"
NA;"Global Defence Force";"???";"Essential Games";"Unknown";"";"x";"x"
NA;"Global Defence Force: Tactics";"???";"Essential Games";"Unknown";"";"x";"x"
NA;"Global Touring Challenge: Africa";"???";"Empire";"Unknown";"";"";"x"
NA;"Glory Days 2";"???";"Ghostlight";"Odenis Studio";"";"";"x"
NA;"Glory Days: The Essence of War";"???";"Neko Entertainment";"Unknown";"";"";"x"
NA;"Glory of Heracles";"???";"Nintendo";"Unknown";"x";"";"x"
NA;"Glover";"???";"Hasbro Interactive";"Unknown";"";"";"x"
NA;"Glücksrad";"???";"GameTek";"GameTek";"";"";"x"
NA;"Go Bang!";"???";"Hartung";"Unknown";"";"x";"x"
NA;"Go Diego Go!: Great Dinosaur Rescue";"???";"2K Play";"Unknown";"";"";"x"
NA;"Go Diego Go!: Safari Rescue";"???";"2K Play";"Unknown";"";"";"x"
NA;"Go Go Copter";"???";"Empire";"Unknown";"";"x";"x"
NA;"Go Kart Rally";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Go West! A Lucky Luke Adventure";"???";"Atari";"Neko Entertainment";"";"x";"x"
NA;"Go! Explore";"???";"Sony";"Unknown";"";"x";"x"
NA;"Go! Go! Beckham! Adventure on Soccer Island";"???";"Rage";"Unknown";"";"x";"x"
NA;"Go! Go! Cosmo Cops!";"???";"Namco";"NOISE";"";"x";"x"
NA;"Go! Sudoku";"???";"Sony";"Unknown";"";"";"x"
NA;"Goal! 2";"???";"Jaleco";"Jaleco";"";"";"x"
NA;"Goblin Commander: Unleash the Horde";"???";"Jaleco";"Unknown";"";"";"x"
NA;"God Hand";"???";"Capcom";"Unknown";"";"";"x"
NA;"God of War";"???";"Sony";"Unknown";"";"";"x"
NA;"God of War II";"???";"Sony";"Unknown";"";"";"x"
NA;"God of War: Chains of Olympus";"???";"Sony";"Unknown";"";"";"x"
NA;"God of War: Ghost of Sparta";"???";"Sony";"Unknown";"";"";"x"
NA;"Godai: Elemental Force";"???";"3DO";"Unknown";"";"";"x"
NA;"The Godfather";"???";"EA";"Unknown";"";"";"x"
NA;"Gods Eater Burst";"???";"Namco";"Unknown";"";"";"x"
NA;"Godzilla";"???";"Infogrames";"Compile";"";"";"x"
NA;"Godzilla";"???";"Hudson Soft";"Unknown";"x";"";"x"
NA;"Godzilla 2: War of the Monsters";"???";"Toho";"Unknown";"x";"";"x"
NA;"Godzilla Domination!";"???";"Atari";"Unknown";"";"";"x"
NA;"Godzilla Unleashed";"???";"Atari";"Unknown";"";"";"x"
NA;"Godzilla: Save the Earth";"???";"Atari";"Unknown";"";"";"x"
NA;"Godzilla: The Series: Monster Wars";"???";"Ubi Soft";"Crawfish Interactive";"";"";"x"
NA;"GoGoGolf";"???";"Midas";"Unknown";"";"x";"x"
NA;"Gold and Glory: The Road to El Dorado";"???";"Ubi Soft, LSP";"Planet Interactive Development";"";"";"x"
NA;"Golden Age of Racing";"???";"Midas";"Unknown";"";"x";"x"
NA;"Golden Balls";"???";"Mindscape";"Slam Productions";"";"x";"x"
NA;"The Golden Compass: The Official Videogame";"???";"Sega";"Unknown";"";"";"x"
NA;"Golden Nugget";"???";"Virgin";"Unknown";"x";"";"x"
NA;"Golden Nugget 64";"???";"Electronic Arts";"Unknown";"x";"";"x"
NA;"Golden Nugget Casino";"???";"Majesco";"Unknown";"";"";"x"
NA;"The Golden Pyramid";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"Golden Sun";"???";"Nintendo";"Unknown";"";"";"x"
NA;"Golden Sun: The Lost Age";"???";"Nintendo";"Unknown";"";"";"x"
NA;"GoldenEye 007";"???";"Nintendo";"Rare";"";"";"x"
NA;"GoldenEye 007";"???";"Activision";"N-Space";"";"";"x"
NA;"GoldenEye: Rogue Agent";"???";"EA Games";"Unknown";"";"";"x"
NA;"Golf";"???";"Nintendo";"Nintendo";"";"";"x"
NA;"Golf";"???";"Interton";"Unknown";"";"x";"x"
NA;"Golf";"???";"Philips";"Philips";"";"";"x"
NA;"Golf";"???";"Mattel";"Unknown";"";"";"x"
NA;"Golf";"???";"Atari";"Unknown";"";"";"x"
NA;"Golf Classic";"???";"Malibu Games";"Unexpected Development";"";"";"x"
NA;"Golf Grand Slam";"???";"Atlus";"Unknown";"x";"";"x"
NA;"Golf Twin Pack: Pro 18: World Tour Golf + Everybody's Golf";"???";"Sony";"Unknown";"";"x";"x"
NA;"Golgo 13: Top Secret Episode";"???";"Vic Tokai";"Unknown";"x";"";"x"
NA;"Goofy's Hysterical History Tour";"???";"Absolute Entertainment";"Unknown";"x";"";"x"
NA;"GoPets: Vacation Island";"???";"Konami";"Unknown";"x";"";"x"
NA;"Gopher";"???";"Carrere Video";"Unknown";"";"";"x"
NA;"Gordo 106";"???";"Atari";"Tenth Planet";"";"";"x"
