"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"2 Games in 1: Spongebob SquarePants: Battle for Bikini Bottom + Jimmy Neutron Boy Genius";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: SpongeBob SquarePants: Battle for Bikini Bottom + Nicktoons: Freeze Frame Frenzy";"???";"THQ";"Unknown";"x";"";"x"
NA;"2 Games in 1: SpongeBob Squarepants: SuperSponge + Rugrats Go Wild";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Spongebob SquarePants: SuperSponge + Spongebob SquarePants: Battle for Bikini Bottom";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Spongebob SquarePants: SuperSponge + Spongebob SquarePants: Revenge of the Flying Dutchman";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Sportsman's Pack: Cabela's Big Game Hunter: 2005 Adventures + Rapala Pro Fishing";"???";"Activision";"Unknown";"x";"";"x"
NA;"2 Games in 1: Spyro Super Pack";"???";"Vivendi";"Unknown";"x";"";"x"
NA;"2 Games in 1: The SpongeBob Squarepants Movie + SpongeBob Squarepants and Friends: Freeze Frame Frenzy";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Yu-Gi-Oh! Destiny Board Traveler + Dungeon Dice Monsters";"???";"Konami";"Unknown";"x";"";"x"
NA;"2 Games: Bust-A-Move 2 + Bust-A-Move 3 DX";"???";"505 GameStreet";"Taito";"";"x";"x"
NA;"2 Games: Destruction Derby Raw + Porsche Challenge";"???";"Sony";"Unknown";"";"x";"x"
NA;"2 Games: Driver 2: Back on the Streets + Driver";"???";"Atari";"Reflections";"";"x";"x"
NA;"2 Games: Syphon Filter 2 + In Cold Blood";"???";"Sony";"Unknown";"";"x";"x"
NA;"2 Games: Tekken + Ridge Racer";"???";"Sony";"Namco";"";"x";"x"
NA;"2 Games: TOCA World Touring Cars + Jonah Lomu Rugby";"???";"Codemasters";"Codemasters";"";"x";"x"
NA;"2 Games: Tomb Raider III: Adventures of Lara Croft + Tomb Raider: The Last Revelation";"???";"Eidos";"Core";"";"x";"x"
NA;"2 Games: Tomb Raider: The Last Revelation + Tomb Raider: Chronicles";"???";"Eidos";"Core";"";"x";"x"
NA;"2 Games: Who Wants to Be A Millionaire + Who Wants to Be A Millionaire: 2nd Edition";"???";"Eidos";"Celador";"";"x";"x"
NA;"2 Giochi Inclusi: Looney Tunes: Ralph il Lupo all' Attacco + La Collana Die Tuoi Eroi Preferiti";"???";"Konami";"Unknown";"";"x";"x"
NA;"2 in 1 Game Pack: Shark Tale + Shrek 2";"???";"Activision";"Unknown";"";"";"x"
NA;"2 in 1 Game Pack: Shrek 2 & Madagascar: Operation Penguin";"???";"Activision";"Unknown";"";"";"x"
NA;"2 in 1 Game Pack: Spider-Man: Mysterio's Menace & X-Men 2: Wolverine's Revenge";"???";"Activision";"Unknown";"";"";"x"
NA;"2 in 1: Cross High + Block Buster";"???";"Watara";"Unknown";"";"";"x"
NA;"2 in 1: Hash Block + Eagle Plan";"???";"Watara";"Unknown";"";"";"x"
NA;"2 Jeux + 2 Cartes Memoire: Baby Felix Tennis + CT Special Forces";"???";"LSP";"Unknown";"";"x";"x"
NA;"2 Jeux en 1: Astérix & Obélix: Paf! Par Toutatis! + Astérix & Obélix XXL";"???";"Atari";"Unknown";"";"x";"x"
