"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
"NintendoGameBoyAdvance";"2 Games in 1: Sonic Advance + Sonic Battle";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: Sonic Advance + Sonic Pinball Party";NA;"THQ";"Unknown";1;1;0
"NintendoGameBoyAdvance";"2 Games in 1: Sonic Battle + ChuChu Rocket!";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: Sonic Pinball Party + Columns Crown";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: Sonic Pinball Party + Sonic Battle";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: SpongeBob SquarePants: Battle for Bikini Bottom + The Fairly Odd Parents! Breakin Da Rules";NA;"THQ";"Unknown";0;1;0
"NintendoGameBoyAdvance";"2 Games in 1: Spongebob SquarePants: Battle for Bikini Bottom + Jimmy Neutron Boy Genius";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: SpongeBob SquarePants: Battle for Bikini Bottom + Nicktoons: Freeze Frame Frenzy";NA;"THQ";"Unknown";0;1;0
"NintendoGameBoyAdvance";"2 Games in 1: SpongeBob Squarepants: SuperSponge + Rugrats Go Wild";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: Spongebob SquarePants: SuperSponge + Spongebob SquarePants: Battle for Bikini Bottom";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: Spongebob SquarePants: SuperSponge + Spongebob SquarePants: Revenge of the Flying Dutchman";NA;"THQ";"Unknown";1;1;0
"NintendoGameBoyAdvance";"2 Games in 1: Sportsman's Pack: Cabela's Big Game Hunter: 2005 Adventures + Rapala Pro Fishing";NA;"Activision";"Unknown";0;1;0
"NintendoGameBoyAdvance";"2 Games in 1: Spyro Super Pack";NA;"Vivendi";"Unknown";0;1;0
"NintendoGameBoyAdvance";"2 Games in 1: The SpongeBob Squarepants Movie + SpongeBob Squarepants and Friends: Freeze Frame Frenzy";NA;"THQ";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Games in 1: Yu-Gi-Oh! Destiny Board Traveler + Dungeon Dice Monsters";NA;"Konami";"Unknown";0;1;0
